Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,se_event,gene_number,db
GTPase Binding (GO:0051020),25/225,5.279525647949362e-4,3.0727684346701163,38.26143314753751,RABGAP1;MYCBP2;AMBRA1;YBX3;FGD1;AKAP13;AP3M1;GOLGA4;DENND10;ARFIP2;ERC1;DNM1L;HACE1;PLEKHG2;SPHK2;TSC2;GAPVD1;CYRIB;RRAGB;ATG16L1;RAB34;SGSM2;TRIP11;RIN3;EXOC5,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Small GTPase Binding (GO:0031267),22/199,0.0014087559892349596,3.047279981361757,33.67527849554987,HACE1;RABGAP1;PLEKHG2;SPHK2;MYCBP2;TSC2;GAPVD1;CYRIB;YBX3;FGD1;AKAP13;AP3M1;GOLGA4;RAB34;DENND10;SGSM2;ARFIP2;TRIP11;RIN3;EXOC5;ERC1;DNM1L,Cd2bp2,skipping,798,GO_Molecular_Function_2023
"Catalytic Activity, Acting On A tRNA (GO:0140101)",9/39,0.0014087559892349596,7.289733840304183,79.7766767879507,DTWD2;DUS2;TYW5;MRPL58;TARS2;DUS3L;OSGEP;ANKZF1;TRIT1,Cd2bp2,skipping,798,GO_Molecular_Function_2023
GTPase Regulator Activity (GO:0030695),36/424,0.0014087559892349596,2.2908515301566688,24.994810356760233,GPSM2;RABGAP1;FAM13B;ITSN1;NPRL3;MYCBP2;AGAP1;ARHGAP17;ASAP1;FGD1;RCC1L;RCBTB2;RIC8A;AKAP13;SIPA1L1;RACGAP1;DENND10;CHN1;DNM1L;TBC1D22A;RALGPS2;PLEKHG2;RALGAPA1;ARHGEF19;TSC2;GAPVD1;TIAM1;SPATA13;SGSM2;PREB;RIN3;DENND6B;RGS12;DEPDC5;RGL2;MON1A,Cd2bp2,skipping,798,GO_Molecular_Function_2023
mRNA 3'-UTR Binding (GO:0003730),13/93,0.005412767211144873,3.958375796178344,37.3319267002548,RBM47;TIA1;CELF1;PABPC4;YBX3;CRYZ;PUM2;HNRNPA2B1;GEMIN5;RBMS1;TUT1;RNPS1;HNRNPC,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Protein-Lysine N-methyltransferase Activity (GO:0016279),9/54,0.014574460170456317,4.8560202788339675,40.09131839170516,SETD5;SUV39H2;METTL22;SETD3;KMT5C;EHMT2;EHMT1;KMT5B;CAMKMT,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Histone H3K9 Methyltransferase Activity (GO:0046974),4/9,0.014574460170456317,19.342065491183877,158.94281645273213,SETD5;SUV39H2;EHMT2;EHMT1,Cd2bp2,skipping,798,GO_Molecular_Function_2023
poly(A) Binding (GO:0008143),6/25,0.017948338882136317,7.648724082934609,60.53147903968237,TIA1;HNRNPDL;RBPMS;PABPC4;RBMS1;ZC3H14,Cd2bp2,skipping,798,GO_Molecular_Function_2023
N6-methyladenosine-containing RNA Binding (GO:1990247),4/10,0.01960367562337165,16.117548278757347,124.72888195841836,YTHDF2;YTHDF3;HNRNPA2B1;HNRNPC,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),19/203,0.021471371536809208,2.520943796394486,19.07763184069571,PLEKHG2;ITSN1;MYCBP2;ARHGEF19;GAPVD1;FGD1;RCBTB2;RCC1L;RIC8A;TIAM1;AKAP13;SPATA13;DENND10;PREB;RIN3;DENND6B;RGL2;MON1A;RALGPS2,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Uridylyltransferase Activity (GO:0070569),3/5,0.022979339023881207,36.22641509433962,269.00546101210944,TUT7;TUT1;UAP1,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Cadherin Binding (GO:0045296),25/319,0.038706747398738035,2.0799781749698587,14.217192205157984,MACF1;ASAP1;CLINT1;BAIAP2L1;CALD1;ARFIP2;SNX9;FLNB;ERC1;EPS15;CAST;SH3GLB2;SEPTIN2;CSNK1D;EPS15L1;CIP2A;GAPVD1;KTN1;EPN2;PPFIBP1;DLG1;PKM;ABI1;PKP4;TLN1,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Ubiquitin-Protein Transferase Activity (GO:0004842),30/412,0.03937726322295992,1.9244928010471205,12.972659650063173,RNF14;PELI2;MYCBP2;KLHL13;UBE2J2;RMND5B;TRIM68;RFFL;BTRC;HACE1;FANCL;FBXW11;SMURF1;FBXO17;HUWE1;WWP1;CHFR;RNF146;UBE2W;ITCH;TTC3;MDM2;ERCC8;TRIM37;BCOR;FBXL5;RNF185;UBE2K;BIRC2;TRIM33,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Poly-Purine Tract Binding (GO:0070717),6/31,0.03937726322295992,5.8112121212121215,38.893992360146044,TIA1;HNRNPDL;RBPMS;PABPC4;RBMS1;ZC3H14,Cd2bp2,skipping,798,GO_Molecular_Function_2023
DNA Repair (GO:0006281),31/291,0.001921861384951297,2.94454919265871,41.71293029206535,DCLRE1A;ABRAXAS1;NTHL1;UIMC1;PMS2;KMT5B;ASCC3;POLE;PMS1;MUTYH;ZRANB3;UVRAG;SLC30A9;MGMT;KMT5C;FANCL;USP3;HUWE1;FANCC;FANCE;REXO4;TICRR;SETX;RAD52;RAD50;TDP2;FANCD2;MSH3;ERCC2;ERCC8;RAD18,Cd2bp2,skipping,798,GO_Biological_Process_2023
Protein Ubiquitination (GO:0016567),35/434,0.04879781985643387,2.1617116184957808,20.735554794129015,ANAPC16;RNF14;UBA6;PELI2;MYCBP2;AMBRA1;KLHL13;UBE2J2;TNKS2;ZSWIM8;TRIM68;BTRC;ATG3;HACE1;FBXW5;FANCL;FBXW11;SMURF1;HUWE1;WWP1;FANCC;FANCE;CHFR;RNF146;UBE2W;ITCH;MDM2;ERCC8;TRIM37;FBXL5;RNF185;UBE2K;RAD18;BIRC2;TRIM33,Cd2bp2,skipping,798,GO_Biological_Process_2023
Endocytosis (GO:0006897),20/189,0.04879781985643387,2.8951491458906924,27.6608738125512,LMBR1L;TSC2;CSNK1D;EPS15L1;PIK3C2A;HSPG2;CLINT1;RAB22A;EPN1;EPN2;GAK;AP3M1;DAB2;HOOK2;RAB34;OCIAD1;RIN3;SNX9;ATP9B;EPS15,Cd2bp2,skipping,798,GO_Biological_Process_2023
Organelle Assembly (GO:0070925),28/322,0.04879781985643387,2.33865182436611,21.517349124745007,TSG101;DYNLT2B;ASAP1;AMBRA1;CDC14B;AP3M1;NUDCD3;TBC1D31;ARL13B;WDR90;IFT57;BBS5;IQCB1;ATG3;YTHDF2;YTHDF3;SEPTIN2;RFX3;SEPTIN6;CPLANE1;ATG13;ATAT1;IFT81;ATG16L1;TMEM237;CENPJ;B9D2;CEP20,Cd2bp2,skipping,798,GO_Biological_Process_2023
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),25/275,0.04879781985643387,2.451746442432083,22.203597372706298,DYNLT2B;ASAP1;FGD1;CDC14B;NUDCD3;TBC1D31;ARL13B;WDR90;ARFIP2;IFT57;BBS5;IQCB1;SEPTIN2;RFX3;SEPTIN6;CPLANE1;ANO6;ATAT1;IFT81;TMEM237;CENPJ;STK26;SPATA13;B9D2;CEP20,Cd2bp2,skipping,798,GO_Biological_Process_2023
Vesicle-Mediated Transport (GO:0016192),33/411,0.04879781985643387,2.148189646228862,19.420072990127892,RAB5C;TSG101;STX16;GOSR2;ITSN1;PIK3C2A;CLINT1;RAB22A;AP3M1;CECR2;GOLGA4;HMGXB4;CPNE1;SNX9;ATP9B;EPS15;VPS16;UVRAG;TSC2;CSNK1D;EPS15L1;RBSN;AP4B1;EPN1;EPN2;HOOK2;RAB34;DNAJC5;OCIAD1;VIPAS39;RIN3;EXOC5;OSBPL1A,Cd2bp2,skipping,798,GO_Biological_Process_2023
Chromatin Remodeling (GO:0006338),22/228,0.04879781985643387,2.614302872585327,23.491733503821372,SRPK2;KDM5A;SUV39H2;PBRM1;CHTOP;KDM5C;USP15;KDM4C;PCGF2;USP3;ARID1B;SIRT2;CECR2;TADA2A;RUVBL2;MIER1;MTF2;PCGF1;HNRNPC;BCOR;BPTF;KDM6A,Cd2bp2,skipping,798,GO_Biological_Process_2023
Intracellular Membrane-Bounded Organelle (GO:0043231),272/5175,2.568237201818717e-5,1.5080888631077891,24.469793734993427,ATF2;PANK2;EHMT2;ITSN1;EHMT1;DCAF8;SMC5;ALKBH6;UXT;PPP4R2;CPNE1;KAT7;ESCO1;DAPK2;METTL3;RFX3;MRTFA;CSNK1D;RFX1;JMJD7;SRRM1;RRAGB;AKAP9;PREB;NSMF;ANKRA2;MYCBP2;UBE2J2;OSGEP;GMCL1;MTDH;DHX30;RACGAP1;DHX33;NTHL1;MIER1;LTA4H;LYAR;LHPP;ATP6V0A1;SRPK2;HACE1;STK11IP;FUCA1;MEMO1;PTK2;SETX;MLLT10;MOV10;FIBP;STAG1;TADA2A;STAG2;TDP2;GOLGB1;GTF2IRD1;RNPS1;HNRNPC;CDK12;PKIG;RAD18;RPS24;PHF3;CEP57;SUV39H2;SETD5;NCAPG2;TECR;OTUD7B;MED15;CLINT1;MED14;UIMC1;TOP3B;NCOA2;GRIPAP1;PBRM1;SPHK2;STRADA;PABPC4;STRADB;PRMT3;TERF1;RBSN;SIRT2;GAK;AFTPH;SLTM;KIFC1;MTF2;ERGIC2;STX16;MIS12;RAD54B;BCLAF1;BTAF1;PMS2;PCGF1;EPS15;APBB3;PMS1;BRD4;TRMT10B;EGLN2;YTHDF2;MYEF2;SEPTIN2;MGMT;PCGF2;NFYC;ATAD2;YLPM1;MOK;HUWE1;HIPK2;RNF146;ITCH;TTC3;HNRNPA2B1;ZYX;CRLF3;CRTC1;PRDM2;RPL10A;CDC14B;EIF4ENIF1;HMGN5;RUVBL2;KMT5B;CLCC1;NEPRO;GTF2I;SLC30A9;BORA;KMT5C;FBXW11;RALGAPA1;USP4;USP3;ANGEL1;ADAM10;TSC2;VRK1;GTF2F2;THOC7;THOC6;CLIP1;MAU2;MSH3;FANCD2;GEMIN5;PKP4;WDFY2;GEMIN8;ISCU;ANKRD17;IPPK;HTRA2;BCL2L12;IRAK1;ZC3H14;BPTF;OSBPL9;TIA1;CHTOP;CBX5;POU2F1;FANCL;RFXANK;FANCC;FANCE;CLK2;UBE2W;DAB2;DLG1;LSM6;DAB1;HOOK2;P4HA1;CNOT2;TADA3;MDM2;PIR;NF2;OSBPL1A;UBE2K;FGFR2;MDM1;EIF4G1;KDM5A;KDM5C;RBM26;CELF1;RNF14;FHL1;FOXM1;PIK3C2A;YBX3;CDC73;RESF1;SENP6;METTL14;SIN3A;PPP6R3;SNAPC4;TRIM68;DNM1L;RBM7;POLE;KDM6A;SUN1;PPP2R5C;TRNAU1AP;TTI2;PTBP2;REXO4;EPN2;PTBP3;METTL22;PKM;TFDP2;SLC25A19;DNAJC5;RBMS1;DNAJC8;BIRC2;RBM47;USP15;USP16;WBP2;ABRAXAS1;SRF;AMBRA1;RMND5B;CECR2;GANAB;NFS1;HIRIP3;TNKS2;RALY;ASCC3;E2F6;SMNDC1;S100PBP;MUTYH;TCF7L2;KDM4C;NAA10;SMOX;B3GAT3;SWT1;LIMK2;DONSON;TPRKB;DTNBP1;PTPN13;CDK11B;CHFR;PML;TICRR;NAP1L4;RAD52;RAD50;DOLPP1;ERCC2;ERCC8;ACIN1;QRICH1;RGS12;BCOR;TRIM33;SSBP4,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Nucleus (GO:0005634),239/4487,4.308039252677441e-5,1.5050778394294357,22.59917605411182,ATF2;PANK2;EHMT2;EHMT1;DCAF8;SMC5;ALKBH6;UXT;PPP4R2;CPNE1;KAT7;ESCO1;DAPK2;METTL3;RFX3;MRTFA;CSNK1D;JMJD7;SRRM1;RRAGB;PREB;NSMF;ANKRA2;MYCBP2;UBE2J2;OSGEP;GMCL1;MTDH;DHX30;RACGAP1;DHX33;NTHL1;MIER1;LTA4H;LYAR;LHPP;SRPK2;HACE1;MEMO1;PTK2;SETX;MLLT10;MOV10;FIBP;STAG1;TADA2A;STAG2;TDP2;GTF2IRD1;RNPS1;HNRNPC;CDK12;PKIG;RAD18;RPS24;PHF3;CEP57;SUV39H2;SETD5;NCAPG2;TECR;OTUD7B;MED15;MED14;UIMC1;TOP3B;NCOA2;PBRM1;SPHK2;STRADA;PABPC4;STRADB;PRMT3;TERF1;SIRT2;SLTM;KIFC1;MTF2;ERGIC2;MIS12;RAD54B;BCLAF1;PMS2;PCGF1;APBB3;PMS1;BRD4;TRMT10B;EGLN2;YTHDF2;MYEF2;SEPTIN2;MGMT;PCGF2;NFYC;ATAD2;YLPM1;MOK;HUWE1;HIPK2;RNF146;TTC3;HNRNPA2B1;ZYX;CRLF3;CRTC1;PRDM2;RPL10A;CDC14B;EIF4ENIF1;HMGN5;RUVBL2;KMT5B;NEPRO;GTF2I;SLC30A9;BORA;KMT5C;FBXW11;RALGAPA1;USP4;USP3;ANGEL1;ADAM10;TSC2;VRK1;GTF2F2;THOC7;THOC6;CLIP1;MAU2;MSH3;FANCD2;GEMIN5;PKP4;GEMIN8;ISCU;ANKRD17;IPPK;HTRA2;BCL2L12;IRAK1;ZC3H14;BPTF;TIA1;CHTOP;CBX5;POU2F1;FANCL;RFXANK;FANCC;FANCE;CLK2;UBE2W;DLG1;LSM6;CNOT2;TADA3;MDM2;PIR;NF2;UBE2K;FGFR2;MDM1;EIF4G1;KDM5A;KDM5C;RBM26;CELF1;RNF14;FHL1;FOXM1;YBX3;CDC73;RESF1;SENP6;METTL14;SIN3A;PPP6R3;SNAPC4;TRIM68;RBM7;POLE;KDM6A;PPP2R5C;TRNAU1AP;TTI2;PTBP2;REXO4;PTBP3;METTL22;PKM;TFDP2;SLC25A19;RBMS1;DNAJC8;BIRC2;RBM47;USP15;USP16;WBP2;ABRAXAS1;SRF;AMBRA1;RMND5B;CECR2;NFS1;HIRIP3;TNKS2;RALY;ASCC3;E2F6;SMNDC1;S100PBP;MUTYH;TCF7L2;KDM4C;NAA10;SWT1;LIMK2;DONSON;TPRKB;DTNBP1;PTPN13;CDK11B;CHFR;PML;TICRR;NAP1L4;RAD52;RAD50;ERCC2;ERCC8;ACIN1;QRICH1;RGS12;BCOR;TRIM33;SSBP4,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Mitotic Spindle (GO:0072686),17/143,0.005471340038723163,3.295449464463549,32.18207831469064,IQCB1;EPB41;LIMK2;HAUS6;EML1;SIRT2;CDC14B;EML4;ATAT1;TADA2A;RACGAP1;TFDP2;KIFC1;TADA3;PKP4;LSM14A;MAD1L1,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Intracellular Non-Membrane-Bounded Organelle (GO:0043232),73/1195,0.011690739876666894,1.622521359641035,13.933736411844524,TMEM179B;HJURP;FOXM1;TENT4B;CDC14B;UXT;EPB41L4A;CSPP1;SH3PXD2B;TRIM68;ARFIP2;KAT7;RBM7;NEPRO;SLC30A9;PPP1R12A;ESCO1;CSNK1D;VRK1;TERF1;ZFX;DDX50;SIRT2;REXO4;METTL22;PREPL;SHQ1;FANCD2;AKAP9;TUT1;PKP4;WDFY3;LDAH;ERGIC2;MAD1L1;IPPK;MACF1;TSG101;RAB5C;ROCK2;EPB41;HTRA2;ASAP1;AMBRA1;SYCE2;HIRIP3;RACGAP1;DHX33;IRAK1;CALD1;EPB41L3;LYAR;ZC3H14;E2F8;SRPK2;CBX5;NAA10;ATP8B2;IDH3G;MTX2;FANCE;PTK2;PML;ABTB1;STAG1;LSM6;STAG2;TTC3;ERCC2;MDM2;RGS12;NF2;EIF4G3,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Cytoplasmic Stress Granule (GO:0010494),11/76,0.011690739876666894,4.11508161470042,34.95972570148815,TIA1;YTHDF2;RBPMS;YTHDF3;CELF1;PABPC4;ZFAND1;LSM14A;HIPK2;PUM2;EIF4G1,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Clathrin Coat (GO:0030118),5/16,0.014399112540040634,11.000229278917804,89.15488976020298,EPS15L1;CLINT1;EPS15;EPN1;EPN2,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Spindle (GO:0005819),19/210,0.03196561911841583,2.4276593027710383,17.3654743046521,IQCB1;EPB41;LIMK2;CSNK1D;EML1;SIRT2;CDC14B;EML4;ATAT1;TADA2A;RACGAP1;TFDP2;KIFC1;CSPP1;TADA3;ERCC2;PKP4;LSM14A;MAD1L1,Cd2bp2,skipping,798,GO_Cellular_Component_2023
Cytoskeleton (GO:0005856),40/599,0.03843812693833949,1.759927499634194,12.029554459553523,MACF1;ROCK2;EPB41;HTRA2;AMBRA1;FOXM1;UXT;AKAP13;EPB41L4A;NDOR1;BAIAP2L1;SIPA1L1;CALD1;MICAL1;EPB41L3;TAF1A;TSPAN5;FLNB;VILL;APBB3;IQCB1;RBM39;SLC30A9;PPP1R12A;SEPTIN2;TPM2;DTNBP1;SEPTIN6;EML1;GTF2F2;PTK2;EML4;CLIP1;PREPL;AKAP9;ZYX;PKP4;NSMF;HNRNPC;NF2,Cd2bp2,skipping,798,GO_Cellular_Component_2023
mRNA Processing WP310,26/444,0.017622536577618288,2.3135840311004783,19.8301363883518,RBM25;RBM47;CELF1;SFSWAP;POLDIP3;FMR1;VIRMA;TIAL1;SAFB2;IGF2BP1;ILKAP;RBM39;MBNL1;TIA1;MYEF2;CIRBP;PRPF40B;CLK4;DNAJC17;LSM2;CLK1;ILF3;EIF4E2;EIF4G3;SLU7;SUGP2,Cd2bp2,including,538,WikiPathways_2024_Mouse
Fanconi anemia pathway,8/51,0.012750098709048616,6.816673979815708,66.28198691569054,CENPX;FANCM;FANCL;REV1;POLI;PMS2;POLK;FANCG,Cd2bp2,including,538,KEGG_2019_Mouse
RHO GTPase Cycle,30/450,0.0029627573282072052,2.6774465691788527,32.50705964289567,TFRC;GARRE1;ROCK2;SRC;FAF2;DOCK7;ARHGAP19;ARHGAP17;FAM169A;ARHGAP12;ABR;SYDE1;CHN1;DBT;SPTAN1;PAK4;STARD8;SCRIB;MYO9B;OCRL;MACO1;KCTD3;PTPN13;MPP7;WDR11;NISCH;FMNL3;CCDC88A;SHKBP1;DLG5,Cd2bp2,including,538,Reactome_Pathways_2024
Signaling by Rho GTPases,39/672,0.0029627573282072052,2.3248107589586757,27.891922159287923,TFRC;GARRE1;ROCK2;SRC;FAF2;DOCK7;ARHGAP19;ARHGAP17;FAM169A;ARHGAP12;ABR;PPP1CC;SYDE1;CHN1;DBT;SPTAN1;CLASP1;NDEL1;PAK4;CLASP2;STARD8;PPP2R5B;SCRIB;MYO9B;OCRL;MACO1;KCTD3;CDC25C;PTPN13;PTK2;MPP7;WDR11;NISCH;FMNL3;CCDC88A;CENPI;SHKBP1;DLG5;ITGB3BP,Cd2bp2,including,538,Reactome_Pathways_2024
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",39/688,0.003401634086159419,2.2655696601214754,25.949611753882667,TFRC;GARRE1;ROCK2;SRC;FAF2;DOCK7;ARHGAP19;ARHGAP17;FAM169A;ARHGAP12;ABR;PPP1CC;SYDE1;CHN1;DBT;SPTAN1;CLASP1;NDEL1;PAK4;CLASP2;STARD8;PPP2R5B;SCRIB;MYO9B;OCRL;MACO1;KCTD3;CDC25C;PTPN13;PTK2;MPP7;WDR11;NISCH;FMNL3;CCDC88A;CENPI;SHKBP1;DLG5;ITGB3BP,Cd2bp2,including,538,Reactome_Pathways_2024
Mitochondrial tRNA Aminoacylation,6/21,0.003407821757322618,14.621804511278196,163.24370443856182,RARS2;AARS2;SARS2;NARS2;DARS2;CARS2,Cd2bp2,including,538,Reactome_Pathways_2024
DNA Repair,21/312,0.022886694233632734,2.6759656224451134,24.182102217068678,RIF1;FANCM;FANCL;ACTR5;XRCC3;REV1;COPS7B;TERF2;FANCG;RAD52;HERC2;MSH3;CHEK2;NSD2;PMS2;POLI;ERCC8;RAD1;APBB1;POLK;RNF111,Cd2bp2,including,538,Reactome_Pathways_2024
Chromatin Modifying Enzymes,17/238,0.035384564549370674,2.840838623948029,23.45372282385143,KDM2B;BRPF3;SETD6;DNMT3A;JADE1;MSL3;MSL1;NCOR2;ZZZ3;MTA1;KANSL1;NSD2;TBL1X;MTA3;KAT14;EZH2;KDM6A,Cd2bp2,including,538,Reactome_Pathways_2024
Chromatin Organization,17/238,0.035384564549370674,2.840838623948029,23.45372282385143,KDM2B;BRPF3;SETD6;DNMT3A;JADE1;MSL3;MSL1;NCOR2;ZZZ3;MTA1;KANSL1;NSD2;TBL1X;MTA3;KAT14;EZH2;KDM6A,Cd2bp2,including,538,Reactome_Pathways_2024
CDC42 GTPase Cycle,13/155,0.035384564549370674,3.369014084507042,27.393630369420855,TFRC;STARD8;DOCK7;SCRIB;ARHGAP17;MYO9B;KCTD3;FMNL3;SYDE1;ABR;SHKBP1;CHN1;PAK4,Cd2bp2,including,538,Reactome_Pathways_2024
Mitochondrial tRNA aminoacylation,6/21,0.01027305935159625,14.621804511278196,163.24370443856182,RARS2;AARS2;SARS2;NARS2;DARS2;CARS2,Cd2bp2,including,538,BioPlanet_2019
Small GTPase Binding (GO:0031267),16/199,0.026856843068849015,3.229110399263028,29.703880790749828,USP6NL;HACE1;ANKRD27;GARRE1;DOCK7;TSC2;GCC2;MYO9B;OCRL;CYRIB;LSM2;STRN3;GOLGA4;PEX5;ERC1;DNM1L,Cd2bp2,including,538,GO_Molecular_Function_2023
GTPase Binding (GO:0051020),17/225,0.026856843068849015,3.02043038535361,26.9588584269776,USP6NL;HACE1;ANKRD27;GARRE1;DOCK7;TSC2;GCC2;MYO9B;OCRL;CYRIB;RASIP1;LSM2;STRN3;GOLGA4;PEX5;ERC1;DNM1L,Cd2bp2,including,538,GO_Molecular_Function_2023
Double-Stranded RNA Binding (GO:0003725),8/65,0.0340448729447611,5.138695796094009,41.018582131431245,DHX30;MBNL1;ILF3;TFRC;IGF2BP1;LRRFIP1;APTX;MTDH,Cd2bp2,including,538,GO_Molecular_Function_2023
Protein Serine/Threonine Kinase Activity (GO:0004674),21/342,0.0340448729447611,2.4220792132901896,18.86967477425964,PLK4;NEK9;ROCK2;PRKAB1;CLK4;CDK11B;CLK1;STK11;CHEK2;PHKG2;RPS6KB2;TLK2;TLK1;MAP4K5;MARK3;CAMK2G;CSNK1G2;MARK2;CAMK1G;PAK4;MAP2K6,Cd2bp2,including,538,GO_Molecular_Function_2023
aminoacyl-tRNA Ligase Activity (GO:0004812),6/37,0.0340448729447611,7.069245694882367,54.94255077955392,RARS2;AARS2;SARS2;NARS2;DARS2;CARS2,Cd2bp2,including,538,GO_Molecular_Function_2023
